"","type","Migration","name","x","y"
"249","tno:coastal_migration_satellite_0_40k",-0.29120168,1570,-1.1933244855,45.8760500509
"250","tno:coastal_migration_satellite_0_40k",-2.93231879,1571,-1.1925860749,45.8791345114
"251","tno:coastal_migration_satellite_0_40k",-3.4643547,1572,-1.1926581802,45.8822538019
"252","tno:coastal_migration_satellite_0_40k",-0.52024158,1573,-1.1929356108,45.8853670596
"253","tno:coastal_migration_satellite_0_40k",0.24072784,1574,-1.1942186596,45.8883632702
"254","tno:coastal_migration_satellite_0_40k",-0.80586109,1575,-1.1958349678,45.891259506
"255","tno:coastal_migration_satellite_0_40k",-2.19857151,1576,-1.1980768711,45.8939684004
"256","tno:coastal_migration_satellite_0_40k",-11.36790669,1577,-1.2006230797,45.8965295061
"257","tno:coastal_migration_satellite_0_40k",-11.41298825,1578,-1.2034985168,45.8989308685
"258","tno:coastal_migration_satellite_0_40k",0.08791596,1579,-1.2064863589,45.9012596124
"259","tno:coastal_migration_satellite_0_40k",14.98338178,1580,-1.2097079757,45.9034375655
"260","tno:coastal_migration_satellite_0_40k",-2.06362033,1581,-1.2129295924,45.9056154331
"261","tno:coastal_migration_satellite_0_40k",-18.00876058,1582,-1.2161512092,45.9077932153
"262","tno:coastal_migration_satellite_0_40k",-9.91903046,1583,-1.2192239549,45.9100665189
"263","tno:coastal_migration_satellite_0_40k",15.9596686,1584,-1.2220238527,45.9125068183
"264","tno:coastal_migration_satellite_0_40k",-1.88128278,1585,-1.2244617431,45.9151314214
"265","tno:coastal_migration_satellite_0_40k",7.39645426,1586,-1.2264265347,45.9179398007
"266","tno:coastal_migration_satellite_0_40k",-7.84232989,1587,-1.2279203216,45.9208813563
"267","tno:coastal_migration_satellite_0_40k",-10.70878048,1588,-1.2289014445,45.9239233761
"268","tno:coastal_migration_satellite_0_40k",-2.1448797,1589,-1.2293672625,45.9270238753
"269","tno:coastal_migration_satellite_0_40k",-11.35967137,1590,-1.229335328,45.9301418408
"270","tno:coastal_migration_satellite_0_40k",2.51768067,1591,-1.2289151287,45.9332521008
